line_number,ground_truth,transcription,cer,wer,bwer,document_id,method
1,11.,11.,0.0,0.0,0.0,071003003,gemini
2,C,,1.0,1.0,1.0,071003003,gemini
3,Of Justifications.,of Justifications,0.1111111111111111,1.0,1.0,071003003,gemini
4,3. Those of a Schoolmaster over his Scholar. See Law of School,3. Those of a Schoolmaster over his Scholar. See Law of School,0.0,0.0,0.0,071003003,gemini
5,masters and Scholars.,masters and Scholars.,0.0,0.0,0.0,071003003,gemini
6,5. Those of a Guardian over his Ward . See Law of Guardi:,"5. Those of a Guardian ouer his Ward. See Law of Guardi
i.t.
A",0.15789473684210525,0.3076923076923077,0.38461538461538464,071003003,gemini
7,6 Those of Adults over Infants in the same Family. See ib.,"6. Those of Adults ouen Infants in the same Family. See 	
Law of Infants.",0.3275862068965517,0.4166666666666667,0.4166666666666667,071003003,gemini
8,vants - The Law of Apprentices _ Law of Journeymen _ Law,nants – The Law of Apprentices – Law of Journeymen – Law –.,0.125,0.4166666666666667,0.4166666666666667,071003003,gemini
9,Justification 6.th Military Powers & Subservience,"Justification C

 of Military Powers & Subservience",0.12244897959183673,0.3333333333333333,0.3333333333333333,071003003,gemini
10,Thereto . _,et,0.8181818181818182,1.0,1.0,071003003,gemini
11,Powers which one man may have over the person of,Powers which one man may have over the person of,0.0,0.0,0.0,071003003,gemini
12,these See the Army and the Navy Laws.,these See the Army and the Navy Laws,0.02702702702702703,0.125,0.125,071003003,gemini
13,2. Those of a military officer over persons at large in a time,"2. Those of a military officer, over persons at large in a time",0.016129032258064516,0.07692307692307693,0.07692307692307693,071003003,gemini
14,of,,1.0,1.0,1.0,071003003,gemini
15,Children.,Children.,0.0,0.0,0.0,071003003,gemini
16,4. Those of a Domestic Preceptor over his Pupil . See Law of,4. Those of a Domestic Preceptor over his Pupil. See Law of,0.016666666666666666,0.15384615384615385,0.15384615384615385,071003003,gemini
17,Preceptors and Pupils.,Preceptors and Pupils.,0.0,0.0,0.0,071003003,gemini
18,Law of Infants.,Law of Infants.,0.0,0.0,0.0,071003003,gemini
19,7. Those of a Master over his Servant - See the Law of Ser,"7. Those of a Master over his Servant. See the Law of Ser

b.",0.10344827586206896,0.21428571428571427,0.14285714285714285,071003003,gemini
20,of the Slaves. (a),of the Slaves.,0.2222222222222222,0.25,0.25,071003003,gemini
21,another on a military account are,another on a military account are,0.0,0.0,0.0,071003003,gemini
22,1. Those of a military Superior over his Subordinates. For,"1. Those of a military Superior over his Subordinates. For
Constitutional Code. Laws of",0.5,0.4,0.4,071003003,gemini
23,Constitutional Code - Laws ofof,Constitutional Code. – Laws of,0.12903225806451613,0.6,0.6,071003003,gemini
24,:ans and Wards.,:ans and Wards.,0.0,0.0,0.0,071003003,gemini
25,ib.,,1.0,1.0,1.0,071003003,gemini
26,ib.,,1.0,1.0,1.0,071003003,gemini
27,ib.,,1.0,1.0,1.0,071003003,gemini
28,ib.,,1.0,1.0,1.0,071003003,gemini
29,Note.,Note.,0.0,0.0,0.0,071003003,gemini
30,(a),(a),0.0,0.0,0.0,071003003,gemini
31,There ought to be a separate Title for every species,There ought to be a separate Title for every species,0.0,0.0,0.0,071003003,gemini
32,of servant which has any Article of Law peculiar to it.,of servant which has any Article of Law peculiar to it.,0.0,0.0,0.0,071003003,gemini
