line_number,ground_truth,transcription,cer,wer,bwer,document_id,method
1,Of family Imposture.,of Family Imposture.,0.1,0.6666666666666666,0.6666666666666666,071111002,mistral
2,pretended mother was or was not privy to the Imposture.,pretended mother was or was not privy to the Imposture.,0.0,0.0,0.0,071111002,mistral
3,4. But if any one bring up a child begotten of a married Woman,4. But if any one bringing up a child begotten of a married Woman,0.04838709677419355,0.07142857142857142,0.07142857142857142,071111002,mistral
4,"during the continuance of the marriage by and Adulterer, as if it","during the continuance of the marriage by an Adulterer, as if it",0.015384615384615385,0.08333333333333333,0.08333333333333333,071111002,mistral
5,"were the child of the Husband, this is not family Imposture.","were the child of the Husband, this is not Family Imposture.",0.016666666666666666,0.09090909090909091,0.09090909090909091,071111002,mistral
6,Punishment.,punishment.,0.09090909090909091,1.0,1.0,071111002,mistral
7,For family Imposture the Punishment of an Impostor,For Family Imposture the Punishment of an Impostor,0.02,0.125,0.125,071111002,mistral
8,himself shall be as follows.,himself shall be as follows.,0.0,0.0,0.0,071111002,mistral
9,1. He shall be punished ignominously and afflictively with the,He shall be punished ignominiously and afflictively with the,0.06451612903225806,0.2,0.2,071111002,mistral
10,Impostor's Mask. See [Punishments],Impostor's Mask. See [Punishments],0.0,0.0,0.0,071111002,mistral
11,2. He shall be Zeiprisoned or confined to hard labour for Life.,She shall be imprisoned or confined to hard Labour for Life.,0.12698412698412698,0.3333333333333333,0.3333333333333333,071111002,mistral
12,The Punishment of a Suborner shall be as follows:,The Punishment of a Suborner shall be as follows:,0.0,0.0,0.0,071111002,mistral
13,1. He shall be ignominiously connected with an Impostor or the Effi=,He shall be ignominiously connected with an Impostor or the Effigies,0.10294117647058823,0.16666666666666666,0.16666666666666666,071111002,mistral
14,gy of an Impostor.,94 of an Impostor.,0.1111111111111111,0.25,0.25,071111002,mistral
15,2. He shall be Zeiprisoned or confined to hard labour for Life.,He shall be imprisoned or confined to hard Labour for Life.,0.1111111111111111,0.25,0.25,071111002,mistral
16,Exposition,Exposition,0.0,0.0,0.0,071111002,mistral
17,"[A) Suborner] There may be a suborner of imposture, where there is no","(A) Suborner] There may be a suborner of imposture, where there is na",0.028985507246376812,0.15384615384615385,0.15384615384615385,071111002,mistral
18,impostor: the party falsely pretended to possess the character in question,imposton: the party falsely pretended to pofssefs the character in queftion,0.05405405405405406,0.2727272727272727,0.2727272727272727,071111002,mistral
19,not knowing but he is intitled to it; for instance in the case of a suppo:,not knowing but he is intitled to it; for instance in the case of a suppo,0.013513513513513514,0.0625,0.0625,071111002,mistral
20,Excuses,Excuses,0.0,0.0,0.0,071111002,mistral
21,:sititious Child.,sitious child.,0.23529411764705882,1.0,1.0,071111002,mistral
