line_number,ground_truth,transcription,cer,wer,bwer,document_id,method
1,11.,11.,0.0,0.0,0.0,071003003,gemini
2,Of Justifications.,of Justifications.,0.05555555555555555,0.5,0.5,071003003,gemini
3,children.,children.,0.0,0.0,0.0,071003003,gemini
4,.. it,.. it,0.0,0.0,0.0,071003003,gemini
5,3. These of a Schoolmaster over his Schooler. See ^ Law of School,3. Those of a Schoolmaster over his Scholar. See Law of School,0.07692307692307693,0.23076923076923078,0.23076923076923078,071003003,gemini
6,:master and. Scholars.,:masters and Scholars.,0.09090909090909091,0.6666666666666666,0.6666666666666666,071003003,gemini
7,4. These of a Domistic Preceptor over his Pupil. See Law of,4. These of a Domestic Preceptor over his Pupil. See Law of,0.01694915254237288,0.08333333333333333,0.08333333333333333,071003003,gemini
8,Preceptors and Pupils.,Preceptors and Pupils.,0.0,0.0,0.0,071003003,gemini
9,ib.,ib.,0.0,0.0,0.0,071003003,gemini
10,5. These of a Guardian over his Ward. See Law of Guardi=,5. Those of a Guardian over his Ward. See Law of Guardi=,0.017857142857142856,0.08333333333333333,0.08333333333333333,071003003,gemini
11,:ans and Wards.,:ans and Wards.,0.0,0.0,0.0,071003003,gemini
12,6 These of Adufts over Infants in the same family. See ib.,6. Those of Adults over Infants in the same Family. See ib.,0.06896551724137931,0.3333333333333333,0.3333333333333333,071003003,gemini
13,Law of Infants.,Law of Infants.,0.0,0.0,0.0,071003003,gemini
14,7. These of a Master over his Servant - See the Law of Ser:,"7. Those of a Master over his Servant. See the Law of Ser:
ib.",0.11864406779661017,0.2857142857142857,0.21428571428571427,071003003,gemini
15,vants. The Law of Apprentices -Law of Journeymen -Law,vants - The Law of Apprentices - Law of Journeymen - Law &c,0.1320754716981132,0.7777777777777778,0.7777777777777778,071003003,gemini
16,of the Slaves.,of the Slaves.,0.0,0.0,0.0,071003003,gemini
17,Justification 6.th Military Kowers & Subservience,Justification 6.th Military Powers & Subservience,0.02040816326530612,0.16666666666666666,0.16666666666666666,071003003,gemini
18,Thereto.-,Thereto. —,0.2222222222222222,2.0,2.0,071003003,gemini
19,Povers which one man may have over the person of,Powers which one man may have over the person of,0.020833333333333332,0.1,0.1,071003003,gemini
20,another on a military account are,another on a military account are),0.030303030303030304,0.16666666666666666,0.16666666666666666,071003003,gemini
21,1. These of a military superior over his Suborditates. For,"1. These of a military superior over his Subordinates. For
Constitutional Code. Laws of",0.5172413793103449,0.5,0.5,071003003,gemini
22,Constitutional Code-Laws of,Constitutional Code. Laws of,0.07407407407407407,0.6666666666666666,0.6666666666666666,071003003,gemini
23,these See ^ the Army ^ and ^ the Navy Laws,these see ^ the Army ^ and ^ the Navy Laws.,0.047619047619047616,0.18181818181818182,0.18181818181818182,071003003,gemini
24,2. These of a military officer over persons at large in a time,2. Those of a military officer over persons at large in a time,0.016129032258064516,0.07692307692307693,0.07692307692307693,071003003,gemini
25,Note.,Note.,0.0,0.0,0.0,071003003,gemini
26,(a),(a),0.0,0.0,0.0,071003003,gemini
27,There ought to be a separate Title for every species,There ought to be a separate Title for every species,0.0,0.0,0.0,071003003,gemini
28,of servant which has any article of Law peculiar to it.,of servant which has any Article of Law peculiar to it.,0.01818181818181818,0.09090909090909091,0.09090909090909091,071003003,gemini
