line_number,ground_truth,transcription,cer,wer,bwer,document_id,method
1,Alberics Ueſpuccius Laurentio,Albericus Weſpuccius Laurentio,0.06896551724137931,0.6666666666666666,0.6666666666666666,7474185,gemini
2,Petri Franciſci de Medicis vil gruͦß.,Petri Franciſci de Medicis vil gruͤß.,0.02702702702702703,0.16666666666666666,0.16666666666666666,7474185,gemini
3,N vergangnen tagē hab ich dir ebē wit geſchri¬,N vergangnen tage hab ich dir ebe wit geſchri¬,0.043478260869565216,0.2222222222222222,0.2222222222222222,7474185,gemini
4,ben von miner widerfart von den nüwen lant¬,ben von miner widerfart von den nuͤwen lants,0.06976744186046512,0.25,0.25,7474185,gemini
5,ſchafften die ich mit Claſſen verſambneter ſchif,ſchafften die ich mit Claſſen verſambneter ſchif-,0.020833333333333332,0.14285714285714285,0.14285714285714285,7474185,gemini
6,fen mit ſchwerem koſten von gebot des Durchlichtigo¬,fen mit ſchwerem koſten von gebot des Durchlichtigo¬,0.0,0.0,0.0,7474185,gemini
7,ſten Künigs von portigal durchſuͦcht haben vnd fundē,ſten Kuͤnigs von portigal durchſuͤcht haben vnd funten,0.11538461538461539,0.375,0.375,7474185,gemini
8,Die man mag die Nuwen welt nennen/ So by vnſern̄,Sie man mag die Nuͤwen welt nennen/ So by vnſern,0.0625,0.3,0.3,7474185,gemini
9,vorfarn̄ vettern̄ dauon keyn wiſſen geweſen/ vnd allen dē,vorfarn vettern dauon keyn wiſſen geweſen/ vnd allen dē,0.03508771929824561,0.2222222222222222,0.2222222222222222,7474185,gemini
10,die ſolichs hoͤren eyn aller ding nuws ſy/ Sunder ouch,die ſolichs hoͤren eyn aller ding nuws ſy/ Sunder ouch,0.0,0.0,0.0,7474185,gemini
11,das alle wenung vnßer eltern über trüfft ſo doch der mer,das alle wenung vnßer eltern uͤber truͤfft ſo doch der mer,0.07142857142857142,0.18181818181818182,0.18181818181818182,7474185,gemini
12,teyl der ſelben ſpricht/ das über die glichmitnechtige ly¬,teyl der ſelben ſpricht/ das uͤber die glichmitnechtige ly¬,0.034482758620689655,0.1111111111111111,0.1111111111111111,7474185,gemini
13,nien genant Equinoctialis. vn̄ gegē mittag keyn wonūg,nien genant Equinoctialis.vn̄ gegē mittag keyn wonng,0.03773584905660377,0.375,0.375,7474185,gemini
14,d̓ litten ſunder alleyn dz groſ mer inhaltē/ Das ſy nennē,d̓ litten ſuͤnder alleyn dzgroß mer inhalte/ Das ſy nenne,0.08771929824561403,0.45454545454545453,0.45454545454545453,7474185,gemini
15,das Attlandiſch mer/ Und ob yemand der ſelbē wonun,das Attlandiſch mer/ Und ob yemand der ſelbe wonun,0.02,0.1111111111111111,0.1111111111111111,7474185,gemini
16,gen daſelbs ſyn geredt ſo habē ſy doch vß vil ſachen das,gen daſelbs ſyn geredt ſo habe ſy doch vß vil ſachen das,0.017857142857142856,0.08333333333333333,0.08333333333333333,7474185,gemini
17,da wonhafftig land vnd ertrich ſy widerredt/ Aber dz ſo,da wonhafftig land vnd ertrich ſy widerredt/ Aber dz ſo,0.0,0.0,0.0,7474185,gemini
18,lich ir wenen falſch vn̄ der worheit widerig ſy in alle weg,lich ir wenen falſch vn der worheit widerig ſy in alle weg,0.01694915254237288,0.08333333333333333,0.08333333333333333,7474185,gemini
19,hat diß mindeſte ſchiffung bewyßt/ So ich in den ſelben,hat diß min leſte ſchiffung bewyſt/ So ich in den ſelben,0.05454545454545454,0.3,0.3,7474185,gemini
20,gegnūgen gegen mittag menſchliche inwonung funden,gegnuͤgen gegen mittag menſchliche inwonung funden,0.04081632653061224,0.16666666666666666,0.16666666666666666,7474185,gemini
21,hab mit vil volcks vnd vil thieren bewert/ den̄ vnſer euro,hab mit vil volcks vnd vil thieren bewert/ den vnſer euro,0.017241379310344827,0.09090909090909091,0.09090909090909091,7474185,gemini
22,pa oder Aſiam oder Affricam/ vnnd ſo vil me geſunden,pa oder Asiam oder Affricam/ vnnd ſo vil me geſunden,0.019230769230769232,0.1,0.1,7474185,gemini
23,temperierten lufft ſchon vnd luter me vnd luſtiger denn,temperierten lufft ſchon vnd luter me vnd luſtiger denn,0.0,0.0,0.0,7474185,gemini
24,in eynicher andern lantſchafft die wir wiſſen/ Als du har,in eynicher andern lantſchafft die wir wiſſen/ Als du har,0.0,0.0,0.0,7474185,gemini
25,nach ſehen vnd verſtan würſt ſo ich kurtz die obern̄ ding,nach ſehen vnd verſtan wuͤrſt ſo ich kurtz die obern̄ ding,0.03508771929824561,0.09090909090909091,0.09090909090909091,7474185,gemini
26,beſchriben vnd die ding ſo vermerckens vnd gedechtniß,beſchriben vnd die ding ſo vermerckens vnd gedechtniß,0.0,0.0,0.0,7474185,gemini
27,aller würdigeſt vn̄ von mir geſehen oder gehoͤrt in dißer,aller wuͤrdigeſt vn von mir geſehen oder gehoͤrt in dißer,0.05263157894736842,0.2,0.2,7474185,gemini
28,nüwen welt ſind/ Als harnach gezeygt würt.,nuͤwen welt ſind/ Als harnach gezeygt wuͤrt-,0.11904761904761904,0.2857142857142857,0.2857142857142857,7474185,gemini
