line_number,ground_truth,transcription,cer,wer,bwer,document_id,method
1,keit gottes vmbſcheyn vnß da wir diſen landen zuͦ kamē,keit gottes vmbſcheyn vnß da wir dieſen landen zū kamē\n,0.09259259259259259,0.3,0.3,7474188,openai
2,den̄ vns was abgangen an holtz an waſſer/ vnnd hetten,den̄ vns was abgangen an holtz an waſſer / vnnd hetten\n,0.05660377358490566,0.3,0.3,7474188,openai
3,noch wenig tag moͤgen bliben/ vnd vff dem mere vnßer,noch wenig tag moͤgen bliben / vn̄ vff dem mere vnſer\n,0.09615384615384616,0.4,0.4,7474188,openai
4,leben enthalten/ Im ſie ere vnd glorig vnd danck geſagt/,leben enthalten / Im ſie ere vnd gloria vnd danck geſagt /\n,0.08928571428571429,0.5,0.5,7474188,openai
5,Wir wurden da zerate dz wir fuͦrē nach dem begriff des,Wir wurden da zerate das wir fuͤre nach dem begriff des\n,0.1111111111111111,0.2727272727272727,0.2727272727272727,7474188,openai
6,ſtaden vn̄ des lands diſer lantſchafft gegē der Sonnen,ſtaden vn des lands dieſer lantſchafft gegen der Sonnen\n,0.1111111111111111,0.4444444444444444,0.4444444444444444,7474188,openai
7,vffgang vn̄ die anſehung ſolichs lands nyemer ze laſſen/,"vffgang vn die anſehung ſolichs lands nyemer ze laſſen,\n",0.07142857142857142,0.2222222222222222,0.2222222222222222,7474188,openai
8,Und zuͦ ſtundan durch fuͦren wir das/ damit wir kamē,End zu ſtundan durch fuͤren wir das / damit wir kamen\n,0.15384615384615385,0.6,0.6,7474188,openai
9,zuͦ einem winckel/ da das land eyn inkere machet gegen,zu einem winckel/ da das land eyn inkere machet gegen\n,0.05555555555555555,0.2,0.2,7474188,openai
10,mittag vnd von der ſtatt da wir am erſten das land traf,mittag vnd von der ſtatt da wir am erſten das land traf\n,0.03636363636363636,0.08333333333333333,0.08333333333333333,7474188,openai
11,fen biß zuͦ diſem winckel waren by dryhundert welſcher,fen biß zu dieſem winckel waren by dryhundert welſcher\n,0.07407407407407407,0.3333333333333333,0.3333333333333333,7474188,openai
12,mile/ vnd in zyt dißer ſchiffung ſind wir zuͦ dickern̄ malē,male / vn̄ in zyt diſſer ſchiffung ſind wir zu dickern malen\n,0.1864406779661017,0.6363636363636364,0.6363636363636364,7474188,openai
13,zuͦ land gefaren vnd haben früntlich geſprech vnnd wan,zu land gefaren vn̄ haben fruntlich geſprech vnnd wan\n,0.09259259259259259,0.4444444444444444,0.4444444444444444,7474188,openai
14,del mit dem ſelben volck gehept als du hienach vernemen,del mit dem ſelben volck gehept als du hienach vernemen\n,0.03636363636363636,0.1,0.1,7474188,openai
15,wirdeſt/ Mir was vergeſſen dir ze ſchriben das von dem,"wirdest, Mir was vergeſſen dir ze ſchriben das von dem\n",0.07407407407407407,0.2,0.2,7474188,openai
16,hochgebirg des grünē houpts biß zuͦ anfang diſer bewo¬,hochgebirg des gruͤne houpts biß zu anfang dieſer bewon¬\n,0.14814814814814814,0.4444444444444444,0.4444444444444444,7474188,openai
17,den landtſchafft ſind by Sibenhundert welſcher milen,den landtſchafft ſind by Sibenhundert welſcher milen\n,0.038461538461538464,0.14285714285714285,0.14285714285714285,7474188,openai
18,Wie wol ich meyn das wir me den̄ Tuſent vn̄ achthun¬,Wie wol ich meyn das wir me den Luſent vn achthun¬\n,0.09615384615384616,0.36363636363636365,0.36363636363636365,7474188,openai
19,dert mile gefaren ſo von vnwiſſenheyt d̓ ſtetten vn̄ ſchiff¬,dert mile gefaren ſo von vnwissenheyt ſtetten vn̄ ſchiff¬\n,0.11666666666666667,0.3,0.3,7474188,openai
20,meiſters ſo von vngewitter vnd von winden verhindert,meiſters ſo von vngewitter vn̄ von winden verhindert\n,0.057692307692307696,0.25,0.25,7474188,openai
