cer,wer,bwer,line_count_match,gt_line_count,transcription_line_count,document_id,method
0.4700193423597679,0.49214659685863876,0.4869109947643979,False,23,40,071_106_002,openai
0.24448529411764705,0.34065934065934067,0.0989010989010989,False,14,13,071_133_003,openai
0.11594202898550725,0.16,0.12,False,6,8,071_042_002,openai
0.5176715176715176,0.6720430107526881,0.21505376344086022,False,32,24,071_003_003,openai
0.6169111302847282,0.6778846153846154,0.6201923076923077,False,27,48,071_002_003,openai
0.514571190674438,0.5124378109452736,0.5124378109452736,False,24,41,071_108_002,openai
0.48279352226720645,0.4942528735632184,0.4827586206896552,False,23,40,071_111_002,openai
0.5557537912578056,0.6751269035532995,0.5431472081218274,False,23,42,071_157_001,openai
0.10648148148148148,0.1388888888888889,0.08333333333333333,True,7,7,071_054_002,openai
0.04015056461731493,0.14685314685314685,0.13986013986013987,True,16,16,071_112_003,openai
