cer,wer,bwer,line_count_match,gt_line_count,transcription_line_count,document_id,method
0.22437137330754353,0.2774869109947644,0.2617801047120419,False,23,26,071_106_002,mistral
0.33639705882352944,0.5164835164835165,0.3076923076923077,False,14,12,071_133_003,mistral
0.12318840579710146,0.16,0.12,False,6,7,071_042_002,mistral
0.5852390852390852,0.7580645161290323,0.41397849462365593,False,32,38,071_003_003,mistral
0.31233822260569455,0.40384615384615385,0.33653846153846156,False,27,31,071_002_003,mistral
0.06744379683597003,0.14925373134328357,0.14427860696517414,False,24,21,071_108_002,mistral
0.39979757085020245,0.4482758620689655,0.4367816091954023,False,23,31,071_111_002,mistral
0.5450490633363069,0.6852791878172588,0.30456852791878175,False,23,22,071_157_001,mistral
0.42592592592592593,0.5833333333333334,0.5277777777777778,False,7,11,071_054_002,mistral
0.14429109159347553,0.2517482517482518,0.23776223776223776,False,16,13,071_112_003,mistral
