line_number,ground_truth,transcription,cer,wer,document_id,method
1,ſy nie me wüſſen den̄ von den ſtetten vnd landen die ſye,Sy nit me wüͤssen den von den stetten vnd landen die sye,0.14285714285714285,0.5,7474189,mistral
2,offt vn̄ dick bygeſchiffet vn̄ erfaren hatten/ Und als vns,offt vn dick bygeschiffet vn erfaren hatten. /Vnd als vns,0.10344827586206896,0.5,7474189,mistral
3,an dem ende der egemelt wynckel eyn krūme erzoͤigt des,an dem ende der egemelt wynckel eyn Erůme erzoͤigt des,0.037037037037037035,0.1,7474189,mistral
4,landſtaden gegen mittag wurden wür eyns ſolichs für¬,landstadẽ gegen mittag wurden wir eyns solichs fürs,0.11538461538461539,0.5,7474189,mistral
5,faren vnd ze erkunden was in den ſelben groſſen landen,faren vnd ze erkunden was in den selben grossen landen,0.05555555555555555,0.2,7474189,mistral
6,were/ Und ſchifften alſo nach dem ſtaden by Sechſhun,were/ Vnd schifften also nach dem staden By Sechshvn,0.1346153846153846,0.6666666666666666,7474189,mistral
7,dert mylen wegs vnd zuͦm dickern̄ mal/ kamen wür vnd,dert mylen wegs vnd zům dickern mal kamen wīr vnd,0.09615384615384616,0.4,7474189,mistral
8,giengen zelande beſprachtē vnd beredten wir vn̄ bewon,giengen zelande Besprache vnd Beredten wir vn Bewon,0.1320754716981132,0.5,7474189,mistral
9,ten mit den inwonern̄ vnd lantſlüten der ſelben regionē,ten mit den inwoͤnern vnd lantͤsluten der selben regione,0.12727272727272726,0.4444444444444444,7474189,mistral
10,vnd wurden guͤtlich vnd bruͤderlich von inen empfangē,vnd wurden guͤtlich vnd bruͤderlich von inen empfānge,0.03773584905660377,0.125,7474189,mistral
11,vnd blyben etwan dick fünffzehen oder zweintzig tag by,vnd Blyben erwan dick fünffzehen oder zweinzig tag by,0.05555555555555555,0.3333333333333333,7474189,mistral
12,ienen ſtets vn̄ früntlich als liebe geſte mit ynen redende,ienen stets von früntlich als liebe geste mit ynen redende,0.06896551724137931,0.3,7474189,mistral
13,als du harnach vermercken würſt/ ye doch ſo iſt diſer be,als du harnach vermercten würst/ ye doch so ist diser Be,0.10714285714285714,0.5454545454545454,7474189,mistral
14,wonten lantſchafft teyl in der krummen ſchnuͦr Dorrida,wonten lantschafft reyl in der frummen schnuͤr Dorrida,0.09259259259259259,0.5,7474189,mistral
15,zona innerthalb der lynien equinoctialem gegē dē hymel,zona innerthalb der lſynen equinoctialem gege de hymel,0.07407407407407407,0.375,7474189,mistral
16,gegent Antarticuſ den ſin anfang hept an im achtē grad,gegen Antarticus den sin anfang hept an im achte grad,0.07407407407407407,0.4,7474189,mistral
17,über die equinoctial/ Nach diſem landſſtaden ſchiffeten,gegen einwettung eyn fur mupfing vber die equinoctial / Nach disem landstaden schifferens,0.7454545454545455,1.5714285714285714,7474189,mistral
18,wir ſo lang das wir über vnd für fuͦren des Steinbocks,wir so lang das wir über vnd für fiͤren des Steinbocks,0.05555555555555555,0.18181818181818182,7474189,mistral
19,Tropicum vnd funden den gegen ſibengeſtirnigen hy¬,Tropicum vnd funden den gegen sibengestirnigen hy¬,0.04,0.14285714285714285,7474189,mistral
20,mel den wir nemen den herwagen vnd zuͦ latin polus an,mel den wir nemen den herwagen vnd zů latin polus an,0.03773584905660377,0.09090909090909091,7474189,mistral
21,tarticus genampt wirt/ An dem ſelben irem hymels anſe,particus genv̄pt wirt / An dem selb̄en ı̄tem hymels anse,0.18867924528301888,0.7777777777777778,7474189,mistral
22,hung im vmbkreiß oriſon genant den ſelben ieren hymel,tatticus genempt was in dem felde in vngarung im vmbkreiß orison genant den selben ieren hymel,0.8301886792452831,1.1111111111111112,7474189,mistral
23,funden wir wol fünfftzig graden oder ſtaffel hoͤher/ Wir,funden wir wol fünfftzig graden oder staffel höer.,0.16071428571428573,0.3333333333333333,7474189,mistral
24,waren ouch neher oder daby des Antarticis zirckel by,waren ouch neher oder daby des Antarticis zircel by,0.019230769230769232,0.1111111111111111,7474189,mistral
25,Sibentzehen graden ſemis/ Was ich da geſehen vnd er¬,Eibenzehen graden semis / Was ich da gesehen vnd er,0.11538461538461539,0.5555555555555556,7474189,mistral
26,kent hab von natur vnd weſen der ſelben litten vnd von,Ebengēhen graben fēnſt. Was iz ſeſſen ſol. Ēt hab von natur vnd weſen der ſelben litten vnd von,0.7777777777777778,0.7272727272727273,7474189,mistral
27,ieren wiſſen vnnd ſytten gelichnikeit vnnd ſchicklikeytt,ieren wisen vn̄d̄ sytten gelichnyt v̄nd̄ schicklikeyt,0.23214285714285715,0.8571428571428571,7474189,mistral
28,von fruchtbarkeit des ertrichs vō heilſamikeyt des luffts,von fruchtbarkeit des ertrichs vo heilsamikeyt des luffts,0.03508771929824561,0.25,7474189,mistral
29,Uon geſtalt vnd ſchickung des hymels vnd der hymeli¬,Von gestalt vnd schickung des hymels vnd der hymelta,0.09615384615384616,0.4444444444444444,7474189,mistral
30,ſchen liben/ Und allermeyſt von den vnbeweglichen ver,Echen liben / Und allermeyst von den vnbeweglichen ver,0.05660377358490566,0.5,7474189,mistral
31,hafften ſternen/ der achten ſpere ſo von vnßern vorfaren,baßten sternen / der achten spere so von vnßern vorfaren,0.125,0.5555555555555556,7474189,mistral
