line_number,ground_truth,transcription,cer,wer,bwer,document_id,method
1,2.,C.,0.5,1.0,1.0,071108002,openai
2,Of Matrimonial Desertion.,Of Matrimonial Desertion.,0.0,0.0,0.0,071108002,openai
3,It will be necessary to define what shall be deemed,,1.0,1.0,1.0,071108002,openai
4,"Desertion, distinguishing it from the case of lawful Absence;",It will be necessary to define what shall be deemed,0.7868852459016393,1.1111111111111112,1.1111111111111112,071108002,openai
5,and what steps shall be taken for giving notice.,"Desertion, distinguishing it from the case of lawful Absence;",0.9791666666666666,1.0,1.0,071108002,openai
6,Let certain methods be established whereby the Husband,and what steps shall be taken for giving Notice.,0.7777777777777778,1.0,1.0,071108002,openai
7,and the Wife may be enabled and obliged to correspond with,,1.0,1.0,1.0,071108002,openai
8,one another at stated intervals: and let a failure on either part,Let certain methods be established whereby the Husband,0.7846153846153846,1.0,1.0,071108002,openai
9,for a certain time be deemed presumptive evidence of death or,and the Wife may be enabled and obliged to correspond with,0.7704918032786885,0.9090909090909091,0.9090909090909091,071108002,openai
10,desertion. Within the dominions of the state they  might be manag=,one another at stated intervals: and let a failure on either part,0.8333333333333334,1.0909090909090908,1.0909090909090908,071108002,openai
11,=ed in the manner mentioned in the Book of Procedure. Tit.,for a certain time be deemed presumptive evidence of death or,0.8448275862068966,0.9090909090909091,0.9090909090909091,071108002,openai
12,"As to foreigners, upon their coming into the country",desertion. Within the dominions of the state this may might be managed,1.0192307692307692,1.3333333333333333,1.2222222222222223,071108002,openai
13,let them be obliged to declare upon oath whether they are married,in the manner mentioned in the Book of Evidence. Vol.,0.7538461538461538,1.0,1.0,071108002,openai
14,"or single; and if single whether Bachelors or Spinsters, Widowers",,1.0,1.0,1.0,071108002,openai
15,"or Widows. Of these declarations let Registers be kept, of which,","As to Foreigners, upon their coming into the country",0.8,1.0,1.0,071108002,openai
16,"previous to their being married, copies should be required to be",let them be obliged to declare upon oath whether they are married,0.84375,1.0909090909090908,0.9090909090909091,071108002,openai
17,"produced. If married, certificates of the death of the Wife or","or single; and if single whether Bachelors or Spinsters, Widowers",0.8709677419354839,1.0,0.9090909090909091,071108002,openai
18,Husband. At present these important enquiries are left to the,"or Widows. Of these declarations let Registers be kept, of which",0.7540983606557377,1.0,1.0,071108002,openai
19,uncertain prudence of individuals. The declarations above men=,"previous to their being married, copies should be required to be",0.8709677419354839,1.375,1.375,071108002,openai
20,:tioned should be accompanied with some details respecting their,"produced. If married, certificates of the death of the Wives or",0.8125,1.2222222222222223,1.2222222222222223,071108002,openai
21,in,Husbands. At present these important enquiries are left to the,30.0,10.0,10.0,071108002,openai
22,"birth, parentage and last abode; such as may lead to detection",uncertain prudence of individuals. The declarations above men-,0.8387096774193549,1.0,1.0,071108002,openai
23,this,tioned should be accompanied with some details respecting their,14.75,9.0,9.0,071108002,openai
24,C,"birth: parentage and last abode, such as may lead to detection in",65.0,12.0,12.0,071108002,openai
